Country Name,Country Code,"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",CO2 emissions (kt) [EN.ATM.CO2E.KT],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Forest area (sq. km) [AG.LND.FRST.K2],Voice and Accountability: Percentile Rank [VA.PER.RNK]
Guatemala,GTM,23.8,16455.9,3994.62908519019,35858,35.9605903625488
Guinea,GIN,71.9,2522.3,756.425589810936,63890,24.1379318237305
Guinea-Bissau,GNB,59.9,281.9,585.957012587988,20222.1,26.6009845733643
Guyana,GUY,27.4,2079.93,5668.42976474423,184613.6,53.2019691467285
Haiti,HTI,53,3280.44,1405.71478574216,3628.5,25.1231517791748
Honduras,HND,17.5,10538.2,2257.22528369354,64638.3,31.5270938873291
"Hong Kong SAR, China",HKG,NaN,NaN,42432.1619740441,NaN,64.5320205688477
Hungary,HUN,4.2,43384.1,12717.038597002,20608.2,66.5024642944336
Iceland,ISL,2.1,2057.5,52951.6815110898,481.6,93.596061706543
India,IND,35,2158023.2,1590.17433135955,708280,60.5911331176758
Indonesia,IDN,23.2,489052.8,3322.58167895444,950279,53.694580078125
"Iran, Islamic Rep.",IRN,13.4,599182.7,4990.93679541655,106919.8,7.88177347183228
Iraq,IRQ,24.8,133169.7,4416.94292408042,8250,17.7339897155762
Ireland,IRL,3.2,37087.2,62179.2642662951,7546.7,92.61083984375
Isle of Man,IMN,NaN,NaN,84753.4567282435,34.6,NaN
Israel,ISR,3.2,66314.7,36206.5222171621,1650,71.9211807250977
Italy,ITA,3,337862.1,30242.3861352184,92970.8,81.2807846069336
Jamaica,JAM,12.9,7088.7,5077.5509836244,5774.6,68.9655151367188
Japan,JPN,2,1178349.1,34960.6393843385,249440,78.8177337646484
Jordan,JOR,15,25309.1,4064.25301043642,975,25.6157627105713
Kazakhstan,KAZ,10.6,191059.6,10510.7703240885,33084.562,16.2561569213867
Kenya,KEN,33.1,18090.3,1496.65357260021,35224.1,42.3645324707031
Kiribati,KIR,44.7,60.7,1459.14398299206,11.8,77.8325119018555
"Korea, Dem. People's Rep.",PRK,16,25101.5,NaN,61362.4,0.492610841989517
"Korea, Rep.",KOR,3,607827.1,28737.4391706499,63370,69.4581298828125
Kosovo,XKX,13,NaN,3520.78207462478,NaN,41.8719215393066
Kuwait,KWT,7.8,89021.7,29315.1985079166,62.5,28.0788173675537
Kyrgyz Republic,KGZ,19.8,10266.6,1121.08269597662,12518.1,33.4975357055664
Lao PDR,LAO,42.1,8875.9,2125.45905698314,167680,4.43349742889404
Latvia,LVA,4.3,7315.9,13786.4567953114,33914.4,73.3990173339844
Lebanon,LBN,8.1,27016.8,7802.75136769776,1403.3,31.0344829559326
Lesotho,LSO,63.2,2144.2,1113.83683453612,345.2,50.2463035583496
Liberia,LBR,64.6,1247.8,699.662946853965,77687.4,38.4236450195313
Libya,LBY,11.4,51331.2,7867.5157311439,2170,10.837438583374
Liechtenstein,LIE,NaN,159.773794,167809.269874833,67,95.0738906860352
Lithuania,LTU,4,11067.4,14263.9645773495,21870,77.3399047851563
Luxembourg,LUX,2.3,9133.4,105462.012584423,887,97.0443344116211
"Macao SAR, China",MAC,NaN,NaN,73220.6355551661,NaN,45.320198059082
Madagascar,MDG,45.2,3284.62,455.63803458407,124958.9,34.4827575683594
Malawi,MWI,38.6,1089.52,544.276872741836,24517,47.290641784668
Malaysia,MYS,7,236229.4,9699.60046342736,194642.2,33.9901466369629
Maldives,MDV,8.4,1339.3,9480.43151420101,8.2,30.0492610931396
Mali,MLI,70.2,3343.8,723.504204947663,132960,40.3940887451172
Malta,MLT,5.8,1657.1,24921.7141769982,3.5,89.1625595092773
Marshall Islands,MHL,29.2,146.3,3703.64905889496,94,86.6995086669922
Mauritania,MRT,37.2,2966.5,1562.72683648828,3400.4,23.645320892334
Mauritius,MUS,12.9,3960.9,9507.87133656424,383,72.9064025878906
Mexico,MEX,13.9,471632.6,10098.1731805195,663309.1,44.3349761962891
"Micronesia, Fed. Sts.",FSM,25.1,144.9,2891.32210264749,642.7,85.2216720581055
Moldova,MDA,13.6,8020.6,2749.91303825395,3864,48.7684745788574
Monaco,MCO,1.1,NaN,170338.680381498,0,79.8029556274414
Mongolia,MNG,16.6,17300.6,3919.35121343969,141783.3,56.1576347351074
Montenegro,MNE,3.5,2359.1,6517.19267514764,8270,50.7389144897461
Morocco,MAR,20.3,60362.5,3139.22827148438,56846.9,28.5714282989502
Mozambique,MOZ,60.4,5478.3,603.838513777915,379400,37.9310340881348
Myanmar,MMR,40.7,19034,1159.34020074533,299924.4,14.2857141494751
Namibia,NAM,33.3,4137.3,4965.67276506551,69939.5,67.4876861572266
Nauru,NRU,27.5,54.5,7587.25441038889,0,65.0246276855469
Nepal,NPL,29.2,7186.2,882.307663444541,59620.3,32.019702911377
Netherlands,NLD,3.5,157376,45193.4032187971,3648.3,99.014778137207
New Caledonia,NCL,NaN,NaN,32428.5722348241,8385.2,NaN
New Zealand,NZL,4.6,32281.2,38630.7265886928,98466.1,98.0295562744141
Nicaragua,NIC,16.1,5286.7,2025.32143224265,39075.3,32.5123138427734
Niger,NER,61.3,2111.59,481.111301105002,11418,39.9014778137207
Nigeria,NGA,79.3,107746.4,2679.5542234874,224434.5,34.9753684997559
North Macedonia,MKD,10,7142.1,4861.55615984223,9944,40.8866996765137
Northern Mariana Islands,MNP,NaN,NaN,17665.1007493109,294.9,NaN
Norway,NOR,2.2,40288.8,74809.9658049898,121410,100
Oman,OMN,9.6,70131.7,18777.4330589162,30,20.6896553039551
Pakistan,PAK,62.2,164152.3,1421.83527830089,39326,27.0935955047607
Palau,PLW,18.3,200.9,15761.3633809149,409.9,88.6699523925781
Panama,PAN,14.6,10609.9,13669.5594424097,42709.1,66.0098495483398
Papua New Guinea,PNG,40.3,6369.7,2502.07344498028,360244.209,49.2610855102539
Paraguay,PRY,18.9,6367.5,5861.40189546648,174989.4,44.8275871276855
Peru,PER,12.8,54553.5,6180.11926810233,731945.3,54.679801940918
Philippines,PHL,23.4,110990.9,2974.29691673713,70141.5,51.2315254211426
Poland,POL,4.2,289077.4,12560.051419682,94200,81.7733993530273
